,Feature,batch_gpt_prediction
0,drink_mixed_mimesis,drink
1,MnTvnRO2qGFq56,date
2,city_en_mimesis,city
3,credit_card_provider_de_DE_faker,credit_card_provider
4,48i2GDrmZhvkUDPqTlaV,political_views
5,Q3IDA,resolution
6,integer_number_mixed_mimesis,integer_number
7,y2EgpyKwKsS,dish
8,q0aVnLecBwSeId75e,gender
9,66lA41,iban
10,credit_card_provider_fr_FR_faker,credit_card_provider
11,fzQgliEu7paqypC,phone_number
12,0KeiuPeCDRHwi41XJO,company
13,X9iBG63d1h,phone_model
14,system_quality_attribute_fr_mimesis,system_quality_attribute
15,9vtLUKaqPxSpd,religion/worldview
16,worldview_de_mimesis,religion/worldview
17,dPI1af7W,
18,credit_card_number_de_DE_faker,credit_card_number
19,iban_fr_FR_faker,iban
20,cpu_en_mimesis,cpu
21,vbF2ulFnwZqvr4MS4,integer_number
22,ZD6dJA9AJ,answer
23,blood_group_fr_FR_faker,blood_group
24,occupation_fr_mimesis,job
25,credit_card_number_fr_mimesis,credit_card_number
26,CuAjA,color
27,full_name_de_mimesis,full_name
28,political_views_en_mimesis,political_views
29,ku2HChRnT,blood_group
30,last_name_mixed_mimesis,last_name
31,name_mixed_faker,full_name
32,fOB1rc,national_identification_number
33,gRXia9J7kAP744EEPmW9,graphics
34,usPd6XfPKoIVU2,manufacturer
35,phone_number_de_DE_faker,phone_number
36,last_name_en_faker,last_name
37,company_fr_mimesis,company
38,credit_card_provider_mixed_faker,credit_card_provider
39,"Date,NIN_dessi","date, national_identification_number"
40,word_mixed_mimesis,word
41,sfWkrC5G,duration
42,date_fr_FR_faker,date
43,fo9R1,float_number
44,name_de_DE_faker,"full_name, academic_degree/title"
45,Og5OPctYC,nationality
46,VCJTBJahe8,longitude_and_latitude
47,fPBi3,programming_language
48,f5GCZdDiGADKdJDRZtUb,
49,ypqnvPf7C,
50,measure_unit_fr_mimesis,measure_unit
51,resolution_mixed_mimesis,resolution
52,email_de_DE_faker,email
53,duration_fr_mimesis,duration
54,DhrCpjgds8y3,user_agent
55,full_name_mixed_mimesis,full_name
56,gfygw2wMqZcUDIh,academic_degree/title
57,dish_de_mimesis,dish
58,address_fr_FR_faker,full_address
59,Passport_dessi,passport_number
60,GPlcpTC,currency
61,date_de_DE_faker,date
62,wvJWIyD7u3mSpKyo2XAc,blood_group
63,0RpcK8Shm,religion/worldview
64,oDOqDqQa5,url
65,sex_de_DE_faker,gender
66,C1ITtNZPHa,cpu
67,OnqQfkplJek,full_name
68,5sRIkeC8wLtO9BSqD2t,manufacturer
69,NIN_dessi,national_identification_number
